date;bugs;new_bugs;reliability_remediation_effort;new_reliability_remediation_effort;reliability_rating;new_reliability_rating;vulnerabilities;new_vulnerabilities;security_remediation_effort;new_security_remediation_effort;security_rating;new_security_rating;code_smells;new_code_smells;sqale_rating;new_maintainability_rating;development_cost;sqale_debt_ratio;new_sqale_debt_ratio;effort_to_reach_maintainability_rating_a;sqale_index;new_technical_debt;normalized_td;duplicated_lines;new_duplicated_lines;duplicated_blocks;new_duplicated_blocks;duplicated_files;duplicated_lines_density;new_duplicated_lines_density;duplications_data;lines;generated_lines;ncloc;new_lines;ncloc_language_distribution;generated_ncloc;classes;files;directories;functions;statements;projects;comment_lines;comment_lines_density;ncloc_data;comment_lines_data;team_size;complexity;file_complexity;complexity_in_classes;class_complexity;complexity_in_functions;function_complexity;function_complexity_distribution;file_complexity_distribution;cognitive_complexity;violations;blocker_violations;critical_violations;major_violations;minor_violations;info_violations;new_violations;new_blocker_violations;new_critical_violations;new_major_violations;new_minor_violations;false_positive_issues;wont_fix_issues;open_issues;reopened_issues;confirmed_issues;new_info_violations;public_documented_api_density;public_undocumented_api;public_api
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;129;;2;;20040;5;0;5;1007;;1.50748503;0;;0;;0;0;;;1407;;668;;c=668;;0;12;;32;421;;328;32.9;;;;77;6.4;;;;;;;77;129;12;1;23;48;45;;;;;;0;0;129;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;131;;1;;21420;4.9;0;0;1050;;1.470588235;0;;0;;0;0;;;1412;;714;;c=714;;0;12;;33;463;;301;29.7;;;;89;7.4;;;;;;;96;131;12;2;25;48;44;;;;;;0;0;131;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;129;;1;;21300;4.9;0;0;1038;;1.461971831;0;;0;;0;0;;;1408;;710;;c=710;;0;12;;33;463;;301;29.8;;;;89;7.4;;;;;;;96;129;12;2;25;46;44;;;;;;0;0;129;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;137;;1;;21810;4.9;0;0;1074;;1.477303989;0;;0;;0;0;;;1469;;727;;c=727;;0;14;;34;476;;317;30.4;;;;90;6.4;;;;;;;96;137;14;2;27;46;48;;;;;;0;0;137;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;207;;2;;29310;6;0;307;1772;;1.813715455;0;;0;;0;0;;;1788;;977;;c=977;;5;16;;44;643;;308;24;;;;118;7.4;;;;;;;117;207;16;2;44;93;52;;;;;;0;0;207;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;207;;2;;29520;6;0;298;1774;;1.802845528;0;;0;;0;0;;;1820;;984;;c=984;;5;16;;44;650;;317;24.4;;;;120;7.5;;;;;;;124;207;16;2;44;93;52;;;;;;0;0;207;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;209;;2;;29730;6.1;0;321;1807;;1.823410696;0;;0;;0;0;;;1837;;991;;c=991;;5;16;;44;657;;323;24.6;;;;121;7.6;;;;;;;125;209;16;2;44;94;53;;;;;;0;0;209;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;208;;2;;30120;5.9;0;285;1791;;1.783864542;0;;0;;0;0;;;1881;;1004;;c=1004;;5;16;;46;665;;335;25;;;;125;7.8;;;;;;;126;208;16;2;44;94;52;;;;;;0;0;208;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;208;;2;;30180;5.9;0;284;1793;;1.782306163;0;;0;;0;0;;;1885;;1006;;c=1006;;5;16;;46;667;;335;25;;;;126;7.9;;;;;;;127;208;16;2;44;94;52;;;;;;0;0;208;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;214;;2;;32040;5.9;0;292;1894;;1.77340824;0;;0;;0;0;;;1976;;1068;;c=1068;;5;16;;49;719;;341;24.2;;;;138;8.6;;;;;;;144;214;16;2;44;97;55;;;;;;0;0;214;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;213;;2;;32490;5.8;0;247;1871;;1.727608495;0;;0;;0;0;;;2002;;1083;;c=1083;;5;16;;50;730;;343;24.1;;;;140;8.8;;;;;;;145;213;16;2;44;98;53;;;;;;0;0;213;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;217;;2;;33450;5.7;0;232;1904;;1.707623318;0;;0;;0;0;;;2058;;1115;;c=1115;;5;17;;51;755;;352;24;;;;149;8.8;;;;;;;157;217;17;2;45;98;55;;;;;;0;0;217;0;0;;;;
2020-05-01 00:00:00+00:00;0;0;0;0;1;1;0;0;0;0;1;1;277;25;2;1;44130;5.4;0;168;2374;104;1.613868117;0;0;0;0;0;0;;;2708;;1471;0;c=1471;;6;23;;61;1050;;441;23.1;;;;218;9.5;;;;;;;264;277;23;3;59;113;79;25;0;1;5;11;0;0;277;0;0;8;;;
