Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
10 incubator-dubbo-7d3601ba5e2a5af391127a7fcfe602aec4dd1b1b;6/10/2017;0.003113075;0.00372171;0.000223166;0.000444347;0.000075418;0.000030652;0.000099234;61.39065623;-367.7926739;23.30426547;4.242145532;0.993610435;1;0.944208537;0.976613315;1;1;1;0.013298331;1;0.323310721;0.166349106;0.909455611;0.905157751;0.91361101;0.909317183
11 incubator-dubbo-5400dbf4b59f6e701d85bd90df7e296db50be6f1;13/10/2017;0.003009373;0.003590148;0.000217477;0.000425762;0.000071030;0.000029039;0.000095264;60.30718253;-306.2604897;23.02757112;4.158110444;0.994539666;1;0.945630726;0.97759147;1;1;1;0.027671141;1;0.328007972;0.177463745;0.910926551;0.906691181;0.914852153;0.910732213
12 incubator-dubbo-4e4dc4d5d1f75c18a6af11d7a8694b0dab020ab7;20/10/2017;0.003009756;0.003590733;0.000217475;0.000425757;0.000071029;0.000029038;0.000095263;60.30753937;-306.255099;23.02610426;4.158156676;0.994536232;1;0.945631351;0.977591727;1;1;1;0.027665834;1;0.328031738;0.177463745;0.910926474;0.906691247;0.914852671;0.910732382
13 incubator-dubbo-1420cb4b0992932d7a4666968d298dd7de1823cf;27/10/2017;0.002995016;0.00357302;0.000217243;0.000424339;0.000072484;0.000028993;0.000094643;60.55845584;19.84091352;24.70532824;4.310959623;0.994668311;1;0.945689181;0.977666375;1;1;1;0.024337604;0.974227917;0.299525691;0.157245686;0.908720744;0.904784438;0.91246824;0.908566942
14 incubator-dubbo-e2d63ad98a278e05ab13ee75dbff9ef302709cf2;3/11/2017;0.003029121;0.003611843;0.000219451;0.000429396;0.000073770;0.000029549;0.000096500;60.64600462;20.34772099;24.70565056;4.318771895;0.994362711;1;0.94513734;0.977400216;1;1;1;0.023175575;0.973534665;0.299520599;0.156213613;0.908458767;0.904536288;0.912265995;0.908329508
15 incubator-dubbo-4791067f0e40ca27b20a8bb9ab6e04d3fb5a60ac;10/11/2017;0.003028529;0.003611463;0.000219453;0.000429813;0.000073771;0.000029550;0.000096501;60.64065354;20.30799785;24.70586156;4.317650667;0.994368019;1;0.945136841;0.977378259;1;1;1;0.023247207;0.973589002;0.299517203;0.156359162;0.908466301;0.904541551;0.912270795;0.908335373
16 incubator-dubbo-4791067f0e40ca27b20a8bb9ab6e04d3fb5a60ad;17/11/2017;0.003028529;0.003611463;0.000219453;0.000429813;0.000073771;0.000029550;0.000096501;60.64065354;20.30799785;24.70586156;4.317650667;0.994368019;1;0.945136841;0.977378259;1;1;1;0.023247207;0.973589002;0.299517203;0.156359162;0.908466301;0.904541551;0.912270795;0.908335373
17 incubator-dubbo-3c6ee32e2a461fd154510a49edd2e8471fed12a4;24/11/2017;0.003040297;0.003624643;0.000219362;0.000431082;0.000073947;0.000029538;0.000096462;60.62519375;20.29140682;24.70305872;4.316052245;0.994262575;1;0.945159403;0.977311463;1;1;1;0.023452817;0.973611696;0.299564736;0.156570869;0.908454682;0.904536455;0.912262677;0.908327096
18 incubator-dubbo-3c6ee32e2a461fd154510a49edd2e8471fed12a5;1/12/2017;0.003040297;0.003624643;0.000219362;0.000431082;0.000073947;0.000029538;0.000096462;60.62519375;20.29140682;24.70305872;4.316052245;0.994262575;1;0.945159403;0.977311463;1;1;1;0.023452817;0.973611696;0.299564736;0.156570869;0.908454682;0.904536455;0.912262677;0.908327096
19 incubator-dubbo-1f2dcbe208691fe4aad59d01f9f5a89c26c10373;8/12/2017;0.003109491;0.003718483;0.000223885;0.000449223;0.000075113;0.000029879;0.000099597;60.87401477;18.16751414;24.65666225;4.336703159;0.993642552;1;0.944028744;0.97635671;1;1;1;0.020151117;0.976516924;0.300352421;0.153831904;0.907923446;0.903956817;0.911927981;0.907845288
