Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
79 zxing-e1b127c13a37ca28c3708318c26e3cba40c42ac7;14/09/2018;0.007051336;0.009635511;5.22407E-05;0.00062805;5.45625E-05;9.17115E-05;5.68843E-05;32.90026202;130.6637126;10.99239027;2.892507171;0.958321359;1;1;0.96694476;1;1;1;0.391228275;0.822635776;0.573806209;0.344924315;0.928858989;0.928360179;0.936565377;0.931168389
80 zxing-45d89bce807bad8ce5b3c6b11826a0530463d37a;21/09/2018;0.00705002;0.009634137;5.22396E-05;0.000628036;5.45613E-05;9.17095E-05;5.68831E-05;32.90042326;130.6616292;10.99245545;2.892539725;0.958333154;1;1;0.96694549;1;1;1;0.391225622;0.822638625;0.573803682;0.344924315;0.928861551;0.928361401;0.936567404;0.931170325
81 zxing-2179c52ee3e18ddc7e3fc2e9cd8237a60315ea28;28/09/2018;0.007050592;0.009634493;5.22352E-05;0.000627983;5.45568E-05;9.0541E-05;5.68783E-05;32.89934509;130.6508112;10.99191747;2.892297977;0.958328033;1;1;0.966948252;1;1;1;0.391240214;0.822653423;0.57382454;0.34496401;0.928863735;0.92836442;0.93656902;0.931172598
82 zxing-0b9b39a74fb3d7b010fb2979c14666258d255789;05/10/2018;0.007050477;0.009634336;5.22344E-05;0.000627973;5.45559E-05;9.05395E-05;5.68774E-05;32.89913546;130.648688;10.99208011;2.892283477;0.95832906;1;1;0.966948789;1;1;1;0.391242867;0.822656327;0.573818234;0.34496401;0.928863956;0.928364652;0.936569066;0.931172765
83 zxing-431ae9e06ebb9181531a93c37a5f53394d3b8172;12/10/2018;0.007062963;0.009651398;5.69781E-05;0.000629085;5.46525E-05;9.06999E-05;5.69781E-05;32.9321123;130.5766711;11.00782345;2.884777419;0.958217176;1;1;0.966890256;1;1;1;0.390805116;0.822754838;0.573207838;0.345956388;0.928852825;0.928362384;0.936513862;0.9311499
84 zxing-36f38c5beb3a782baa34f7c98386d6b910c0450a;19/10/2018;0.007064816;0.009651178;5.69837E-05;0.000629147;5.46578E-05;9.07087E-05;5.46578E-05;32.95487589;130.592513;11.00614959;2.917732979;0.958200573;1;1;0.966887022;1;1;1;0.390503997;0.822733168;0.573272736;0.341589923;0.928646278;0.928150401;0.936450368;0.930989241
85 zxing-ea0a9a670fd52d1367201e0d3b88488010b07d2e;26/10/2018;0.007064816;0.009651178;5.69837E-05;0.000629147;5.46578E-05;9.07087E-05;5.46578E-05;32.95487589;130.592513;11.00614959;2.917732979;0.958200573;1;1;0.966887022;1;1;1;0.390503997;0.822733168;0.573272736;0.341589923;0.928646278;0.928150401;0.936450368;0.930989241
86 zxing-c7c016a20fd2c3a6948e0479710e86459c07c4c7;02/11/2018;0.007064816;0.009651178;5.69837E-05;0.000629147;5.46578E-05;9.07087E-05;5.46578E-05;32.95487589;130.592513;11.00614959;2.917732979;0.958200573;1;1;0.966887022;1;1;1;0.390503997;0.822733168;0.573272736;0.341589923;0.928646278;0.928150401;0.936450368;0.930989241
87 zxing-c13216ce08889bdec3a158aa3161db77dda5ad54;09/11/2018;0.007065092;0.009668571;5.69765E-05;0.000627905;5.34882E-05;9.06974E-05;5.4651E-05;32.99797443;130.6760407;10.98858841;2.919227026;0.958198104;1;1;0.96695238;1;1;1;0.389932268;0.822618912;0.573953613;0.341391447;0.928648824;0.928148262;0.936465128;0.930994296
88 zxing-1f4aaad628576d32ec281edc0e64f4b5e18c2b92;16/11/2018;0.007065026;0.009668481;5.6976E-05;0.000627899;5.34877E-05;9.06965E-05;5.46505E-05;32.99785352;130.6748623;10.98855131;2.91923708;0.958198693;1;1;0.966952687;1;1;1;0.389933595;0.822620524;0.573955052;0.341391447;0.928649086;0.928148481;0.936465408;0.93099455
89 zxing-b31e090239cf20793ba222d1bf3e61d9f4fb7a44;23/11/2018;0.007064438;0.009670431;5.69807E-05;0.00062795;5.3492E-05;9.07039E-05;5.46549E-05;33.00025118;130.6856901;10.98929229;2.919474708;0.958203959;1;1;0.966949997;1;1;1;0.389901758;0.822605713;0.573926323;0.341364984;0.928646941;0.928145401;0.936463012;0.930992009
90 zxing-e636498b5e5b07bcfcdf27a3461ea3b5e127e418;30/11/2018;0.007059083;0.009664996;5.69281E-05;0.000627371;5.34427E-05;9.06202E-05;5.46045E-05;32.99563861;130.5845086;10.98468983;2.916781588;0.958251942;1;1;0.966980485;1;1;1;0.389962778;0.822744117;0.574104768;0.34172224;0.92868591;0.92818064;0.936492255;0.93102649
